id,question,category,answer,legal_reference,source
1,"What is the Consumer Protection Act, 2019?",General,The Act protects consumer interests and provides mechanisms for consumer dispute redressal.,Section 1,"Consumer Protection Act, 2019"
2,Who is a consumer?,Definitions,"A consumer buys goods or hires or avails services for consideration, subject to the exclusions and explanations in the Act.",Section 2(7),"Consumer Protection Act, 2019"
3,Are online buyers covered as consumers?,E-commerce,"Yes. The definition includes offline and online transactions through electronic means, teleshopping, direct selling and multi-level marketing.",Section 2(7),"Consumer Protection Act, 2019"
4,What are the consumer rights?,Consumer Rights,"Consumer rights include safety, information, access to choice, being heard, seeking redressal and consumer awareness.",Section 2(9),"Consumer Protection Act, 2019"
5,What is the right to safety?,Consumer Rights,"Consumers have the right to protection against goods, products or services that are hazardous to life and property.",Section 2(9)(i),"Consumer Protection Act, 2019"
6,What is the right to information?,Consumer Rights,"Consumers have the right to be informed about quality, quantity, potency, purity, standard and price.",Section 2(9)(ii),"Consumer Protection Act, 2019"
7,What is the right to be heard?,Consumer Rights,Consumers have the right to be heard and to have their interests receive due consideration at appropriate forums.,Section 2(9)(iv),"Consumer Protection Act, 2019"
8,What is the right to seek redressal?,Consumer Rights,Consumers may seek redressal against unfair or restrictive trade practices and unscrupulous exploitation.,Section 2(9)(v),"Consumer Protection Act, 2019"
9,What is consumer awareness?,Consumer Rights,Consumer awareness is included among the consumer rights recognized by the Act.,Section 2(9)(vi),"Consumer Protection Act, 2019"
10,What is a consumer complaint?,Complaints,"A complaint is a written allegation seeking relief under the Act regarding matters such as unfair practices, defects, deficiencies, excessive pricing, hazardous goods or services, or product liability.",Section 2(6),"Consumer Protection Act, 2019"
11,Who can file a consumer complaint?,Complaints,"A consumer, a recognized consumer association, consumers with the same interest, or the Central Government, Central Authority or State Government may file a complaint in the circumstances provided by the Act.",Section 35,"Consumer Protection Act, 2019"
12,Can a consumer complaint be filed electronically?,Complaints,Yes. The Act provides that a complaint may be filed electronically in the prescribed manner.,Section 35(1),"Consumer Protection Act, 2019"
13,What is a defect in goods?,Definitions,"A defect is a fault, imperfection or shortcoming in the quality, quantity, potency, purity or standard required by law, contract or claimed by the trader.",Section 2(10),"Consumer Protection Act, 2019"
14,What is deficiency in service?,Definitions,"A deficiency is a fault, imperfection, shortcoming or inadequacy in the quality, nature or manner of service performance, including negligence or deliberate withholding of relevant information.",Section 2(11),"Consumer Protection Act, 2019"
15,What is e-commerce?,Definitions,"E-commerce means buying or selling goods or services, including digital products, over a digital or electronic network.",Section 2(16),"Consumer Protection Act, 2019"
16,What is a misleading advertisement?,Advertisements,"A misleading advertisement may falsely describe a product or service, give a false guarantee, mislead consumers about its nature or quality, or deliberately conceal important information.",Section 2(28),"Consumer Protection Act, 2019"
17,What is an unfair trade practice?,Unfair Trade Practice,"It is an unfair or deceptive practice used to promote the sale, use or supply of goods or services, including false or misleading representations.",Section 2(47),"Consumer Protection Act, 2019"
18,Is not issuing a bill or receipt an unfair trade practice?,Billing,"The Act includes failure to issue a bill, cash memo or receipt in the prescribed manner among unfair trade practices.",Section 2(47)(vii),"Consumer Protection Act, 2019"
19,What if a seller refuses to refund a defective product?,Defective Products,"The Act includes refusal to take back defective goods or withdraw deficient services and refund the consideration within the stipulated period, or generally within thirty days when no period is stated, among unfair trade practices.",Section 2(47)(viii),"Consumer Protection Act, 2019"
20,What is an unfair contract?,Contracts,"An unfair contract contains terms that significantly change consumer rights, such as excessive deposits, disproportionate penalties or unreasonable charges.",Section 2(46),"Consumer Protection Act, 2019"
21,What is a restrictive trade practice?,Trade Practices,"A restrictive trade practice may manipulate price or delivery conditions, impose unjustified costs or restrictions, delay supply, or require purchase of another good or service as a condition.",Section 2(41),"Consumer Protection Act, 2019"
22,What is product liability?,Product Liability,Product liability is the responsibility of a product manufacturer or seller to compensate a consumer for harm caused by a defective product or deficiency in related services.,Section 2(34),"Consumer Protection Act, 2019"
23,Can I bring a product liability action?,Product Liability,"A complainant may bring a product liability action against a product manufacturer, product service provider or product seller for harm caused by a defective product.",Sections 82-83,"Consumer Protection Act, 2019"
24,When can a product manufacturer be liable?,Product Liability,"Liability may arise from a manufacturing defect, design defect, deviation from specifications, failure to conform to an express warranty, or inadequate instructions or warnings.",Section 84,"Consumer Protection Act, 2019"
25,What is the Central Consumer Protection Authority?,Authorities,"The Central Consumer Protection Authority regulates violations of consumer rights, unfair trade practices and false or misleading advertisements, and promotes and enforces consumer rights.",Section 10,"Consumer Protection Act, 2019"
26,What can the Central Authority do?,Authorities,"It may protect and enforce consumer rights, prevent unfair trade practices, address misleading advertisements, conduct inquiries and promote consumer awareness.",Section 18,"Consumer Protection Act, 2019"
27,Can the Central Authority order a recall?,Authorities,"Where sufficient evidence exists, it may order recall of dangerous or unsafe goods, withdrawal of services, reimbursement of prices and discontinuation of unfair practices.",Section 20,"Consumer Protection Act, 2019"
28,What can happen to a false or misleading advertisement?,Advertisements,The Central Authority may direct the advertisement to be discontinued or modified and may impose penalties or restrictions as provided by the Act.,Section 21,"Consumer Protection Act, 2019"
29,What is the District Consumer Disputes Redressal Commission?,Consumer Commissions,It is a consumer dispute redressal body established by the State Government for districts under the Act.,Section 28,"Consumer Protection Act, 2019"
30,Can consumer disputes be resolved through mediation?,Mediation,"The Act provides for mediation through consumer mediation cells attached to the District, State or National Commission.",Sections 74-81,"Consumer Protection Act, 2019"
